User IP	Timestamp	Latitude	Longitude	Store Category	Store Name	Safety Observations	Useful Information	Place Id	City	Locality	Address	Country	Opening Time	Closing Time	flag	deleted
124.123.106.199	2020-03-30T08:25:29.343Z	12.970023	77.628507	Grocery	Namdhari's fresh, Cambridge road	Queues made at a suitable distance from each other. All staff with masks.	10 am to 6 pm. Decent stock levels of fruits and vegetables and other items.					IN				
27.59.112.11	2020-03-31T04:11:25.911Z	12.912411	77.633108	Grocery	Star Bazar	Temperature checked while entering. Tokens given and 5 to 10 people allowed at a time.	Most of the grocery available, 9 am to 6 pm					IN				
122.179.36.10	2020-03-31T07:59:29.179Z	12.944507	77.652516	Grocery	Ideal Supermarket	waiting time <5 mins	new stocks arrived on 30th March( monday ). Availability pretty good right now					IN				
182.65.229.216	2020-03-31T08:28:29.953Z	13.057303	80.193923	Grocery	Ram Stores	Queues maintained, hand wash and hand sanitising before entering the store compulsory, average of 5 people allowed in the store at a time, at least 5-6 people waiting outside with a wait time of about 10-15 minutes	Stocks are getting over, no update on when the next restocking will happen 					IN				
122.179.36.10	2020-03-31T09:59:43.763Z	12.944507	77.652516	Grocery	Ideal Supermarket		Well stocked right now. Waiting time <5mins					IN				
27.59.114.191	2020-03-31T11:53:44.615Z	12.905208	77.528075	Grocery	City Mart Supermarket							IN				
27.59.148.162	2020-03-31T13:36:26.640Z	17.71069	83.304906	Pharmacy	Somanath Medicals	Queue system being followed; Safety precautions followed; Moderate-Heavy wait time	8am-3pm Everyday					IN				
154.5.148.55	2020-03-31T23:04:17.813Z	49.28682	-123.123022	Other	HSBC	Few people, sanitiser at teller had expired over a year ago.						CA				
154.5.171.117	2020-04-01T04:40:55.518Z			Grocery	Real Canadian Superstore	Barriers protecting checkout counters, security enforcing 6ft distance in lineup outside store. Controlled number of people entering store. Lots of stock of everything.						CA				
157.51.68.136	2020-04-01T07:50:25.219Z	13.0878	80.2785	Grocery	Kavitha vegetable Mart	No strict measures for social distancing.  But, not really crowded. 	Stocked up very well.  Slightly more expensive. But, almost all categories of food available.  Operational till 2 pm. 					IN				
106.220.115.122	2020-04-01T16:35:00.987Z			Grocery	Ratnadeep	Hand sanitizers,masks and distant queuing  	Vegetables,fruits,breads avilable  Pulses, grains out of stock 					IN				
183.82.180.255	2020-04-02T06:49:01.487Z	12.912411	77.633108	Grocery	Star Bazar	Less crowd						IN				
99.203.55.239	2020-04-02T19:35:35.159Z	40.68974488	-73.99287971	Grocery	130 Court St	Joined the line at the very end of the block, everyone waited 6-8ft apart. Once inside, there were about 30-40 customers in the whole store, to my estimation. 	Got to the front door within 30mn or so. I found everything I needed, shelves were well stocked and no one else in the check out line. 	ChIJJ96V8kVbwokRIuygUoIhMFs		Cobble Hill	130 Court St, Brooklyn, NY 11201, USA	US				
206.116.192.17	2020-04-03T01:23:19.415Z			Grocery	IGA and Superstore Kane rd		not overloaded. Health care.					CA				
206.116.192.17	2020-04-03T01:24:39.967Z			Pharmacy	Shopper Drug Mart	crowd level is low. Good safety programs	stock availability is good					CA				
75.157.191.145	2020-04-03T05:20:20.355Z	49.1011	-122.6588	Grocery	Walmart	Crowd control. Long lineups at self-check out due to every other machine being open.	Out of TP, Hand Sanitizer, milk (unless shopping early in the morning), eggs, flour, yeast					CA				
75.155.223.195	2020-04-03T06:32:55.743Z			Grocery	Canadian Tire		Car repair household supplies pet food 					CA				
72.143.221.52	2020-04-03T06:35:09.378Z			Grocery	Hillside Thrifty's		Limited stock available					CA				
72.143.221.52	2020-04-03T06:41:09.371Z			Grocery	Broadmead Thrifty's Royal Oak, Victoria, B.C.		Good stock availability					CA				
89.32.120.124	2020-04-03T20:01:54.034Z	51.503163	-0.0185147	Grocery	Marks & Spencer Canary Wharf Simply Food	One out, one in procedure with social distancing line outside. Small store so easy to get too close to others, but less dense overall than the much larger Waitrose nearby. Most people careful to maintain distance.	Very quiet an hour before closing, although limited stock by this point.	ChIJd88Wk7kCdkgRme5aJ02Pt5o		Canary Wharf	45 Jubilee Place, 45 Bank St, Canary Wharf, London E14 5NY, UK	GB				
179.35.24.201	2020-04-03T21:45:21.073Z	-22.9150751	-43.2412253	Grocery	Hortifruti - Boulevard 28 de Setembro - Vila Isabel	Muitas pessoas ao mesmo tempo. O melhor é ir 7:30, quando abre.	Os estoques estão cheios e fazem entregas	ChIJCUgmv29-mQARnWAn9w1Yyto			Boulevard 28 de Setembro, 185 - Vila Isabel, Rio de Janeiro - RJ, 20551-031, Brasil	BR				
124.123.107.221	2020-04-04T05:30:37.850Z	12.970023	77.628507	Grocery	Namdhari's Fresh, Cambridge Road	Distance maintained in line. Limited number allowed in. Hand sanitizer at the door. 	Well stocked with fruits, vegetables, dairy and other grocery items 					IN				
120.188.86.210	2020-04-04T06:14:26.962Z	-6.2584091	106.7909996	Grocery	GrandLucky - Radio Dalam	Decent amount of crowd, majority of the food is stocked, fast lines, parking might be difficult	Stocks on grated cheese is low, sugar is low, but other goods are stocked	ChIJn6zE1wrxaS4Rd59HLndhazo		Kota Jakarta Selatan	Jl. Bri Radio Dalam No.9, RT.2/RW.14, Gandaria Utara, jakarta, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140, Indonesia	ID				
46.65.115.83	2020-04-04T10:58:44.044Z	51.50120278	0.02846983312	Grocery	2 Rendal Way	Usually 15 min queue to enter shop. 	Good availability of stock	ChIJWaf2JGyo2EcRKLJCGV3Il5I		Royal Docks	2 Rendal Way, Royal Docks, London E16 2TB, UK					
122.171.80.142	2020-04-04T23:10:52.274Z			Grocery	Casio Hypermarket	Not many people so easy social distancing maintained . 	Pretty much what ever I ordered was available but not the brand's I requested 						11:00	16:00		
122.172.46.107	2020-04-05T01:05:31.818Z			Grocery	Namdharis 	Must wear masks. Queues. Only 3-5 people at a time.	Reasonably well stocked especially on fruits and vegetables.						10:00 AM	6:00 PM		
122.174.61.126	2020-04-05T01:14:47.928Z			Grocery	Kovai Palamuthir Nilayam	Order in whatsapp and they will deliver outside of the shop. Whatsapp number is available in the shop itself. You have to wait outside the shop after ordering..	Card and cash payments available						8:00	1:00		
157.45.254.87	2020-04-04T20:28:42.898Z	12.9719	77.5937	Grocery	Reliance Fresh		Any time					IN				
202.140.46.150	2020-04-02T12:00:30.509Z	12.9719	77.5937	Grocery	Reliance Fresh	Mask Reuqired	1pm-6pm (i have been there in this time slot)					IN				
70.69.201.56	2020-04-03T00:36:53.749Z	49.0220506	-122.2669949	Grocery	Costco Wholesale - Abbotsford	Limited entry based on head count in store.  Sani wipes handed out upon entry to wipe down cart.	Lots of carts up front so you don't really need to grab one while you wait in line.  The line continues inside for two long lanes generally.	ChIJF-CIvOhKhFQRyJZtbSSctD4	Abbotsford	Highway 11	1127 Sumas Way, Abbotsford, BC V2S 8H2, Canada	CA				
50.92.143.27	2020-04-03T18:24:14.277Z	49.0220506	-122.2669949	Pharmacy	Costco Wholesale - Abbotsford		Pharmacy hours	ChIJF-CIvOhKhFQRyJZtbSSctD4	Abbotsford	Highway 11	1127 Sumas Way, Abbotsford, BC V2S 8H2, Canada	CA				
